面數,核發日期-有效期限,溫泉業者,營業處所,泉質類別,核發機關
174,1021001,華欣旅館,宜蘭縣礁溪鄉德陽村礁溪路五段70號,碳酸氫鹽泉,宜蘭縣政府
175,1021001,城市商旅礁溪楓葉館,宜蘭縣礁溪鄉德陽村礁溪路五段118號,碳酸氫鹽泉,宜蘭縣政府
176,1021001,香賓旅社,宜蘭縣礁溪鄉玉石村忠孝路8號,碳酸氫鹽泉,宜蘭縣政府
177,1021002,星輝溫泉旅館,宜蘭縣礁溪鄉德陽路199號1-3樓,碳酸氫鹽泉,宜蘭縣政府
178,1021002,利美溫泉旅館,宜蘭縣礁溪鄉德陽路110號1-4樓,碳酸氫鹽泉,宜蘭縣政府
179,1021007,麗堡大飯店,宜蘭縣礁溪鄉玉石村礁溪路六段6號3-6樓,碳酸氫鹽泉,宜蘭縣政府
180,1021007,皇泰大飯店,宜蘭縣礁溪鄉德陽村仁愛路100號1-6樓,碳酸氫鹽泉,宜蘭縣政府
181,1021007,玉泉旅館,宜蘭縣礁溪鄉德陽村仁愛路14號,碳酸氫鹽泉,宜蘭縣政府
182,1021007,碧珠企業社,宜蘭縣礁溪鄉德陽村德陽路80巷2號,碳酸氫鹽泉,宜蘭縣政府
183,1021015,堤畔溫泉民宿,新北市烏來區忠治理堰堤75號,碳酸氫鹽泉,新北市政府
184,1021015,陽明山天籟渡假酒店,新北市金山區名流路1之6、7、9號、1之9號5樓及1之9號5樓之1至之8,硫磺泉,新北市政府
185,1021016,亞仕登旅社,宜蘭縣礁溪鄉忠孝路7號,碳酸氫鹽泉,宜蘭縣政府
186,1021016,東京大飯店,宜蘭縣礁溪鄉德陽路257號1-5樓,碳酸氫鹽泉,宜蘭縣政府
187,1021016,福岡溫泉汽車旅館,宜蘭縣礁溪鄉德陽村仁愛路132號1-5樓,碳酸氫鹽泉,宜蘭縣政府
188,1021016,福岡溫泉渡假飯店,宜蘭縣礁溪鄉德陽村德陽路62巷6號1-6樓,碳酸氫鹽泉,宜蘭縣政府
189,1021016,理想溫泉飯店,宜蘭縣礁溪鄉德陽村德陽路160號1-3號,碳酸氫鹽泉,宜蘭縣政府
190,1021017,朝陽假期飯店,臺東縣卑南鄉溫泉村龍泉路55號,碳酸氫鹽泉,臺東縣政府
191,1021018,谷關大飯店,臺中市和平區博愛里東關路一段溫泉巷6號,碳酸氫鹽泉,台中市政府
192,1021028,高仕旅館,宜蘭縣礁溪鄉德陽路154號1-5樓,碳酸氫鹽泉,宜蘭縣政府
193,1021028,金格溫泉旅館,宜蘭縣礁溪鄉礁溪路5段148號1-3樓,碳酸氫鹽泉,宜蘭縣政府
194,1021031,綠園旅社,宜蘭縣礁溪鄉德陽村德陽路72號1-4號,碳酸氫鹽泉,宜蘭縣政府
195,1021101,紘冠飯店,宜蘭縣礁溪鄉德陽村德陽路140號,碳酸氫鹽泉,宜蘭縣政府
196,1021101,礁溪老爺大酒店,宜蘭縣礁溪鄉大忠村五峰路69號,碳酸氫鹽泉,宜蘭縣政府
197,1021105,璞石麗緻溫泉會館,新北市烏來區堰堤61號2至3樓及61-1號2至3樓,碳酸氫鹽泉,新北市政府
198,1021106,華閣溫泉飯店,宜蘭縣礁溪鄉玉石村公園路25號,碳酸氫鹽泉,宜蘭縣政府
199,1021106,山泉大飯店,宜蘭縣礁溪鄉玉石村礁溪路六段36號,碳酸氫鹽泉,宜蘭縣政府
200,1021106,大方旅館,宜蘭縣礁溪鄉德陽路223、225、227號,碳酸氫鹽泉,宜蘭縣政府
201,1021106,山口旅館,宜蘭縣礁溪鄉大忠村五峰路2號1-5樓,碳酸氫鹽泉,宜蘭縣政府
202,1021106,長崎大飯店,宜蘭縣礁溪鄉德陽村德陽路243號1-6樓,碳酸氫鹽泉,宜蘭縣政府
203,1021111,溫沙堡花園汽車旅館,宜蘭縣礁溪鄉大忠路219號,碳酸氫鹽泉,宜蘭縣政府
204,1021111,野景大飯店,宜蘭縣礁溪鄉大忠村大忠路142號1-6樓,碳酸氫鹽泉,宜蘭縣政府
205,1021115,中崙溫泉,嘉義縣中埔鄉中崙村4鄰29號,碳酸氫鹽氯化物泉,嘉義縣政府
206,1021115,東關溫泉大旅社,臺中市和平區博愛里東關路一段溫泉巷18號,碳酸氫鹽泉,臺中市政府
207,1021118,一口井浴池,宜蘭縣礁溪鄉德陽村礁溪路五段170及172號,碳酸氫鹽泉,宜蘭縣政府
208,1021119,美嘉美大飯店,宜蘭縣礁溪鄉德陽村礁溪路五段150號1-7,碳酸氫鹽泉,宜蘭縣政府
209,1021120,少帥禪園,臺北市北投區幽雅路34號,硫磺泉,臺北市政府
210,1021202,雅閣溫泉行館,宜蘭縣礁溪鄉玉石村忠孝路107號,碳酸氫鹽泉,宜蘭縣政府
211,1021202,馥蜂溫泉旅館,宜蘭縣礁溪鄉玉石村忠孝路3號1-4樓,碳酸氫鹽泉,宜蘭縣政府
212,1021202,三金?子坪休閒旅館,新北市萬里區磺潭里坪頂3號,硫酸鹽泉,新北市政府
213,1021205,知本江媽媽企業社,臺東縣卑南鄉溫泉村龍泉路139巷26之1號,碳酸氫鹽泉,臺東縣政府
214,1021210,龍山旅社,宜蘭縣礁溪鄉德陽村仁愛路36號,碳酸氫鹽泉,宜蘭縣政府
